Road_Name,Road_Type,Segment_Index,Start_Lat,Start_Lon,End_Lat,End_Lon,Length_Meters,Dist_to_Intersection_m,No_of_Lanes,Speed_Limit_kmh,Road_Surface
Kandy-Jaffna Road,trunk,29,8.407874,80.503323,8.40968,80.503228,200.0,5613.92,2,50,asphalt
Kandy-Jaffna Road,trunk,30,8.40968,80.503228,8.411487,80.503126,200.0,5812.74,2,50,asphalt
Kandy-Jaffna Road,trunk,31,8.411487,80.503126,8.413293,80.503031,200.0,6011.63,2,50,asphalt
Kandy-Jaffna Road,trunk,32,8.413293,80.503031,8.4151,80.502939,200.0,6210.52,2,50,asphalt
Kandy-Jaffna Road,trunk,33,8.4151,80.502939,8.416906,80.502846,200.0,6409.47,2,50,asphalt
Kandy-Jaffna Road,trunk,34,8.416906,80.502846,8.418714,80.502785,200.0,6608.43,2,50,asphalt
Kandy-Jaffna Road,trunk,35,8.418714,80.502785,8.420522,80.502814,200.0,6806.35,2,50,asphalt
Kandy-Jaffna Road,trunk,36,8.420522,80.502814,8.422329,80.502891,200.0,7003.6,2,50,asphalt
Kandy-Jaffna Road,trunk,37,8.422329,80.502891,8.424125,80.503106,200.0,7198.58,2,50,asphalt
Kandy-Jaffna Road,trunk,38,8.424125,80.503106,8.425919,80.503338,200.0,7391.88,2,50,asphalt
Kandy-Jaffna Road,trunk,39,8.425919,80.503338,8.427669,80.502924,200.0,7587.66,2,50,asphalt
Kandy-Jaffna Road,trunk,40,8.427669,80.502924,8.429457,80.502649,200.0,7786.45,2,50,asphalt
Kandy-Jaffna Road,trunk,41,8.429457,80.502649,8.431215,80.502946,200.0,7982.94,2,50,asphalt
Kandy-Jaffna Road,trunk,42,8.431215,80.502946,8.432933,80.503515,200.0,8166.08,2,50,asphalt
Kandy-Jaffna Road,trunk,43,8.432933,80.503515,8.434643,80.504103,200.0,8347.01,2,50,asphalt
Kandy-Jaffna Road,trunk,44,8.434643,80.504103,8.436361,80.504673,200.0,8529.64,2,50,asphalt
Kandy-Jaffna Road,trunk,45,8.436361,80.504673,8.438071,80.505262,200.0,8713.02,2,50,asphalt
Kandy-Jaffna Road,trunk,46,8.438071,80.505262,8.439773,80.50588,200.0,8895.16,2,50,asphalt
Kandy-Jaffna Road,trunk,47,8.439773,80.50588,8.441494,80.506436,200.0,9079.13,2,50,asphalt
Kandy-Jaffna Road,trunk,48,8.441494,80.506436,8.441616,80.506476,14.16,9179.05,2,50,asphalt
Malwatu Oya Left Bank Road,secondary,1,8.345994,80.407671,8.347248,80.408896,200.0,96.89,2,50,asphalt
Malwatu Oya Left Bank Road,secondary,2,8.347248,80.408896,8.348871,80.409658,200.0,290.63,2,50,asphalt
Malwatu Oya Left Bank Road,secondary,3,8.348871,80.409658,8.350518,80.409058,200.0,230.51,2,50,asphalt
Malwatu Oya Left Bank Road,secondary,4,8.350518,80.409058,8.35105,80.408692,71.27,96.72,2,50,asphalt
Nanadana Mawatha,secondary,1,8.346927,80.400262,8.348509,80.399481,200.0,371.8,2,50,asphalt
Nanadana Mawatha,secondary,2,8.348509,80.399481,8.350273,80.399206,200.0,253.9,2,50,asphalt
Nanadana Mawatha,secondary,3,8.350273,80.399206,8.351411,80.398342,200.0,98.91,2,50,asphalt
Sri Maha Bodhi Mawatha,primary,1,8.343788,80.4031,8.344084,80.401309,200.0,100.03,2,50,asphalt
Sri Maha Bodhi Mawatha,primary,2,8.344084,80.401309,8.344309,80.399903,156.72,78.39,2,50,asphalt
Dakanu Dagoba Mawatha,primary,1,8.34429,80.392613,8.342581,80.393069,200.0,96.23,2,50,asphalt
Dakanu Dagoba Mawatha,primary,2,8.342581,80.393069,8.341004,80.393955,200.0,293.6,2,50,asphalt
Dakanu Dagoba Mawatha,primary,3,8.341004,80.393955,8.339681,80.39512,200.0,192.05,2,50,asphalt
